Time,Step,Training loss,Validation loss,Full Validation loss
22:31:19,634,1.2097,-,-
22:31:19,633,1.5964,-,-
22:31:19,632,1.4471,-,-
22:31:16,631,1.3782,-,-
22:31:15,630,0.0453,-,-
22:31:14,629,0.7768,-,-
22:31:10,628,1.0354,-,-
22:31:10,627,0.0281,-,-
22:31:10,626,0.0964,-,-
22:31:10,625,0.0051,-,-
22:31:10,624,0.1449,-,-
22:31:10,623,1.0982,-,-
22:31:07,622,0.8239,-,-
22:31:07,621,0.9554,-,-
22:31:06,620,1.6397,-,-
22:31:06,619,0.9489,-,-
22:31:05,618,1.2456,-,-
22:30:59,617,1.7218,-,-
22:30:59,616,0.0392,-,-
22:30:59,615,1.1856,-,-
22:30:59,614,0.9685,-,-
22:30:58,613,1.3538,-,-
22:30:55,612,1.0726,-,-
22:30:55,611,0.0003,-,-
22:30:54,610,1.3760,-,-
22:30:54,609,1.6357,-,-
22:30:50,608,0.0904,-,-
22:30:50,607,1.3108,-,-
22:30:49,606,0.0504,-,-
22:30:46,605,1.0380,-,-
22:30:46,604,1.0145,-,-
22:30:46,603,0.9104,-,-
22:30:46,602,1.6384,-,-
22:30:46,601,0.0001,-,-
22:30:41,600,1.4059,0.0001,-
22:30:41,599,1.4493,-,-
22:30:40,598,0.0001,-,-
22:30:37,597,1.0777,-,-
22:30:37,596,0.2894,-,-
22:30:37,595,1.0533,-,-
22:30:37,594,0.4181,-,-
22:30:37,593,1.5223,-,-
22:30:33,592,0.2209,-,-
22:30:33,591,1.4631,-,-
22:30:32,590,0.0091,-,-
22:30:32,589,1.1186,-,-
22:30:32,588,0.0003,-,-
22:30:31,587,1.4970,-,-
22:30:25,586,2.2935,-,-
22:30:25,585,0.7415,-,-
22:30:25,584,0.9494,-,-
22:30:24,583,1.2271,-,-
22:30:21,582,1.1966,-,-
22:30:21,581,1.5846,-,-
22:30:20,580,1.6605,-,-
22:30:20,579,1.1716,-,-
22:30:20,578,0.0589,-,-
22:30:16,577,1.0807,-,-
22:30:16,576,0.6420,-,-
22:30:16,575,0.0122,-,-
22:30:15,574,0.9779,-,-
22:30:12,573,0.3846,-,-
22:30:12,572,1.2194,-,-
22:30:12,571,1.3696,-,-
22:30:11,570,1.0863,-,-
22:30:07,569,0.0000,-,-
22:30:07,568,0.4998,-,-
22:30:06,567,1.3489,-,-
22:30:03,566,1.2503,-,-
22:30:03,565,0.8836,-,-
22:30:03,564,1.3527,-,-
22:30:03,563,0.8712,-,-
22:30:03,562,0.8245,-,-
22:29:59,561,0.6019,-,-
22:29:58,560,0.9286,-,-
22:29:58,559,1.4556,-,-
22:29:58,558,0.9745,-,-
22:29:58,557,1.1085,-,-
22:29:57,556,0.6056,-,-
22:29:52,555,0.0001,-,-
22:29:52,554,0.0001,-,-
22:29:52,553,1.4484,-,-
22:29:51,552,1.5232,-,-
22:29:47,551,1.0991,-,-
22:29:46,550,1.5404,-,-
22:29:46,549,1.3478,-,-
22:29:46,548,1.0614,-,-
22:29:46,547,0.0000,-,-
22:29:43,546,1.3579,-,-
22:29:43,545,1.1829,-,-
22:29:43,544,1.5891,-,-
22:29:41,543,1.2697,-,-
22:29:38,542,0.0001,-,-
22:29:38,541,0.0000,-,-
22:29:37,540,1.5264,-,-
22:29:37,539,0.0000,-,-
22:29:33,538,1.6345,-,-
22:29:33,537,1.6362,-,-
22:29:33,536,1.1072,-,-
22:29:32,535,0.5079,-,-
22:29:29,534,0.0001,-,-
22:29:29,533,1.1787,-,-
22:29:29,532,0.0006,-,-
22:29:29,531,0.0006,-,-
22:29:28,530,1.0849,-,-
22:29:24,529,1.0253,-,-
22:29:24,528,0.9770,-,-
22:29:24,527,0.0065,-,-
22:29:24,526,0.0083,-,-
22:29:23,525,1.2924,-,-
22:29:18,524,1.6067,-,-
22:29:18,523,0.0070,-,-
22:29:18,522,1.1165,-,-
22:29:17,521,1.2218,-,-
22:29:12,520,0.3769,-,-
22:29:12,519,0.8895,-,-
22:29:12,518,1.5084,-,-
22:29:12,517,0.0303,-,-
22:29:12,516,1.1157,-,-
22:29:09,515,0.0802,-,-
22:29:09,514,1.4668,-,-
22:29:09,513,1.0217,-,-
22:29:08,512,1.5215,-,-
22:29:04,511,1.4530,-,-
22:29:03,510,1.2573,-,-
22:29:03,509,0.6324,-,-
22:29:03,508,1.0893,-,-
22:29:00,507,0.0543,-,-
22:29:00,506,0.0014,-,-
22:29:00,505,0.0009,-,-
22:28:59,504,0.0015,-,-
22:28:55,503,1.4112,-,-
22:28:55,502,1.3900,-,-
22:28:55,501,1.1199,-,-
22:28:54,500,1.1181,0.0077,-
22:28:54,499,1.4552,-,-
22:28:50,498,1.4508,-,-
22:28:50,497,1.2333,-,-
22:28:50,496,1.1062,-,-
22:28:50,495,0.0020,-,-
22:28:50,494,1.0386,-,-
22:28:49,493,1.2527,-,-
22:28:44,492,1.3392,-,-
22:28:44,491,1.6886,-,-
22:28:42,490,0.0035,-,-
22:28:38,489,1.3920,-,-
22:28:38,488,1.3644,-,-
22:28:38,487,0.2173,-,-
22:28:38,486,1.3279,-,-
22:28:38,485,0.0435,-,-
22:28:35,484,1.7855,-,-
22:28:35,483,0.0066,-,-
22:28:35,482,0.9090,-,-
22:28:34,481,0.7428,-,-
22:28:29,480,1.4478,-,-
22:28:29,479,1.5419,-,-
22:28:29,478,1.2444,-,-
22:28:29,477,0.0036,-,-
22:28:26,476,0.9770,-,-
22:28:26,475,1.3866,-,-
22:28:26,474,1.0986,-,-
22:28:25,473,1.1515,-,-
22:28:21,472,0.1134,-,-
22:28:21,471,0.5896,-,-
22:28:20,470,1.3628,-,-
22:28:20,469,1.2665,-,-
22:28:17,468,0.5346,-,-
22:28:17,467,0.3332,-,-
22:28:17,466,1.1802,-,-
22:28:17,465,1.2535,-,-
22:28:17,464,0.1521,-,-
22:28:17,463,0.8413,-,-
22:28:16,462,0.7187,-,-
22:28:10,461,1.4602,-,-
22:28:09,460,1.3329,-,-
22:28:08,459,1.4244,-,-
22:28:05,458,1.1988,-,-
22:28:05,457,0.6575,-,-
22:28:05,456,1.4277,-,-
22:28:05,455,1.4315,-,-
22:28:01,454,1.3856,-,-
22:28:01,453,1.4959,-,-
22:28:01,452,0.8120,-,-
22:28:00,451,1.1541,-,-
22:27:56,450,1.2003,-,-
22:27:56,449,1.2357,-,-
22:27:56,448,0.8627,-,-
22:27:56,447,0.6730,-,-
22:27:52,446,1.0564,-,-
22:27:52,445,1.3097,-,-
22:27:52,444,1.3090,-,-
22:27:52,443,1.3126,-,-
22:27:51,442,0.8075,-,-
22:27:48,441,1.6311,-,-
22:27:46,440,1.4060,-,-
22:27:46,439,1.4972,-,-
22:27:46,438,1.1501,-,-
22:27:43,437,1.5235,-,-
22:27:43,436,0.6863,-,-
22:27:43,435,1.2697,-,-
22:27:43,434,0.0041,-,-
22:27:43,433,0.6898,-,-
22:27:43,432,1.4946,-,-
22:27:42,431,1.3037,-,-
22:27:36,430,1.3728,-,-
22:27:36,429,0.6422,-,-
22:27:35,428,1.4360,-,-
22:27:31,427,0.9519,-,-
22:27:31,426,0.0011,-,-
22:27:31,425,0.7279,-,-
22:27:31,424,1.0803,-,-
22:27:31,423,1.0751,-,-
22:27:28,422,0.6951,-,-
22:27:28,421,1.2299,-,-
22:27:25,420,0.6515,-,-
22:27:22,419,1.4322,-,-
22:27:22,418,1.1541,-,-
22:27:22,417,1.0137,-,-
22:27:22,416,0.9738,-,-
22:27:22,415,1.6583,-,-
22:27:18,414,0.0008,-,-
22:27:18,413,1.1438,-,-
22:27:18,412,1.2985,-,-
22:27:17,411,0.0004,-,-
22:27:13,410,1.3789,-,-
22:27:13,409,0.0024,-,-
22:27:13,408,1.1146,-,-
22:27:13,407,1.5083,-,-
22:27:13,406,1.0456,-,-
22:27:09,405,0.8629,-,-
22:27:09,404,1.1079,-,-
22:27:09,403,0.0057,-,-
22:27:09,402,0.8245,-,-
22:27:09,401,1.4610,-,-
22:27:07,400,1.3691,1.0881,-
22:27:02,399,1.3634,-,-
22:27:01,398,1.0880,-,-
22:26:57,397,1.0967,-,-
22:26:57,396,1.4196,-,-
